,bid,ask
YOK,0,0
DOTTRY,268.60000000,269.00000000
DOGETRY,1.72300000,1.72400000
LINKTRY,195.50000000,195.90000000
HOTTRY,0.05893000,0.05897000
ETHTRY,38318.00000000,38358.00000000
LUNATRY,1332.50000000,1333.60000000
XLMTRY,2.72000000,2.72300000
BNBTRY,5582.00000000,5585.00000000
ADATRY,11.74000000,11.76000000
MATICTRY,20.97400000,20.99800000
AVAXUSDT,72.05000000,72.06000000
USDTTRY,14.82700000,14.82800000
SOLTRY,1206.90000000,1207.50000000
ADAUSDT,0.79200000,0.79300000
DOTUSDT,18.13000000,18.14000000
XRPUSDT,0.78640000,0.78650000
ETHUSDT,2585.57000000,2585.58000000
SOLUSDT,81.42000000,81.43000000
LUNAUSDT,89.93000000,89.94000000
BTCUSDT,39086.30000000,39086.31000000
TRXTRY,0.88850000,0.88890000
HOTUSDT,0.00397500,0.00397600
CHZUSDT,0.21060000,0.21070000
BTCTRY,579371.00000000,579422.00000000
BNBUSDT,376.60000000,376.70000000
DOGEUSDT,0.11620000,0.11630000
MATICUSDT,1.41500000,1.41600000
XLMUSDT,0.18360000,0.18370000
ETHBTC,0.06614400,0.06614500
LTCUSDT,105.50000000,105.60000000
LINKUSDT,13.20000000,13.21000000
XRPTRY,11.65200000,11.65900000
TRXUSDT,0.05994000,0.05995000
CHZTRY,3.12400000,3.12600000
AVAXTRY,1068.30000000,1069.10000000
